Category,Province,Values in 2022 (100 million yuan),Values in 2021 (100 million yuan),Values in 2020 (100 million yuan),Values in 2019 (100 million yuan),Values in 2018 (100 million yuan),Values in 2017 (100 million yuan),Values in 2016 (100 million yuan),Values in 2015 (100 million yuan),Values in 2014 (100 million yuan),Values in 2013 (100 million yuan),Values in 2012 (100 million yuan),Values in 2011 (100 million yuan),Values in 2010 (100 million yuan),Values in 2009 (100 million yuan),Values in 2008 (100 million yuan),Values in 2007 (100 million yuan),Values in 2006 (100 million yuan),Values in 2005 (100 million yuan),Values in 2004 (100 million yuan),Values in 2003 (100 million yuan),Values in 2002 (100 million yuan),Values in 2001 (100 million yuan),Values in 2000 (100 million yuan),Values in 1999 (100 million yuan),Values in 1998 (100 million yuan),Values in 1997 (100 million yuan)
real estate,Shanghai,3619.20 ,3564.50 ,3393.40 ,3300.72 ,3300.72 ,1873.05 ,2125.62 ,1699.78 ,1530.96 ,1343.77 ,1147.04 ,1019.68 ,1002.50 ,1237.56 ,747.00 ,806.79 ,688.10 ,676.12 ,644.12 ,463.93 ,373.63 ,316.85 ,251.70 ,210.53 ,512.21 ,147.51 
real estate,Jiangsu,7932.60 ,8943.30 ,8944.94 ,8057.76 ,8057.76 ,5016.54 ,4292.79 ,3755.45 ,3564.44 ,3436.65 ,2992.82 ,2747.89 ,2600.95 ,2025.39 ,1220.98 ,1132.32 ,914.78 ,731.01 ,659.40 ,549.50 ,456.56 ,393.75 ,351.92 ,314.86 ,381.81 ,234.28 
real estate,Zhejiang,5019.70 ,5303.80 ,5053.47 ,4356.87 ,4356.87 ,3222.54 ,2607.00 ,2351.42 ,2166.86 ,2190.03 ,1927.93 ,1677.13 ,1618.17 ,1316.83 ,1082.98 ,1004.62 ,807.52 ,695.82 ,288.29 ,238.50 ,186.83 ,146.31 ,116.90 ,92.87 ,172.19 ,67.51 
real estate,Anhui,2937.10 ,3300.20 ,3100.88 ,2870.49 ,2870.49 ,1390.48 ,1124.07 ,870.07 ,807.33 ,763.56 ,665.76 ,634.92 ,532.17 ,497.94 ,342.72 ,294.99 ,247.76 ,219.19 ,193.35 ,166.66 ,142.31 ,126.44 ,114.29 ,93.66 ,85.10 ,65.13 
real estate,Fujian,2674.90 ,2813.90 ,2904.80 ,2689.62 ,2689.62 ,1768.48 ,1269.67 ,1077.88 ,1090.22 ,1216.76 ,1039.71 ,911.16 ,679.03 ,656.61 ,466.75 ,481.33 ,415.10 ,321.74 ,176.70 ,158.21 ,142.17 ,128.52 ,118.02 ,103.95 ,172.48 ,81.42 
real estate,Jiangxi,2117.40 ,2176.50 ,1925.09 ,1895.01 ,1895.01 ,890.55 ,745.89 ,548.26 ,522.81 ,500.57 ,421.83 ,402.51 ,340.56 ,305.90 ,190.65 ,189.35 ,171.06 ,171.88 ,174.74 ,138.02 ,125.27 ,114.84 ,89.76 ,76.31 ,100.50 ,53.11 
real estate,Shandong,4406.70 ,4524.50 ,4298.02 ,4348.67 ,4348.67 ,3091.37 ,2773.29 ,2592.67 ,2526.16 ,2237.46 ,1984.49 ,1838.14 ,1622.15 ,1329.59 ,1043.92 ,935.55 ,779.70 ,653.66 ,563.65 ,490.88 ,429.32 ,376.26 ,309.99 ,283.31 ,429.88 ,239.37 
real estate,Henan,3631.00 ,3719.70 ,3532.67 ,3419.58 ,3419.58 ,2222.21 ,1890.01 ,1657.04 ,1541.76 ,1165.07 ,1040.70 ,987.00 ,773.23 ,622.98 ,484.11 ,447.44 ,348.70 ,298.19 ,217.06 ,201.17 ,185.60 ,171.71 ,154.71 ,137.12 ,139.76 ,118.11 
real estate,Hubei,3909.40 ,4336.20 ,3308.51 ,3680.34 ,3680.34 ,1642.98 ,1291.35 ,1136.72 ,1062.71 ,797.19 ,692.82 ,634.67 ,564.41 ,546.11 ,421.33 ,379.65 ,264.73 ,217.17 ,169.32 ,148.95 ,124.23 ,106.46 ,87.75 ,76.23 ,180.14 ,64.43 
real estate,Hunan,2822.00 ,2945.40 ,2902.37 ,2777.26 ,2777.26 ,1019.35 ,879.62 ,751.81 ,673.38 ,636.26 ,568.52 ,518.04 ,464.21 ,400.11 ,387.08 ,332.62 ,268.52 ,234.93 ,154.66 ,137.71 ,125.46 ,108.00 ,97.14 ,86.98 ,125.62 ,65.75 
real estate,Guangdong,10450.60 ,10804.70 ,10625.65 ,9223.62 ,9223.62 ,7635.96 ,6229.50 ,5117.95 ,4486.92 ,4207.46 ,3643.87 ,3321.31 ,2813.95 ,2470.63 ,2209.78 ,2141.47 ,1784.68 ,1456.14 ,824.66 ,731.57 ,633.87 ,559.66 ,515.52 ,426.66 ,268.20 ,303.36 
real estate,Guangxi,1899.30 ,1984.20 ,1923.65 ,1798.82 ,1798.82 ,885.48 ,749.04 ,657.30 ,593.01 ,520.51 ,489.43 ,465.68 ,405.79 ,348.98 ,280.60 ,239.45 ,192.20 ,164.26 ,95.69 ,81.67 ,69.43 ,60.83 ,46.12 ,42.64 ,31.22 ,31.31 
real estate,Hainan,571.00 ,589.00 ,526.02 ,497.86 ,497.86 ,434.90 ,349.95 ,299.69 ,295.56 ,288.54 ,238.11 ,208.71 ,188.33 ,121.76 ,57.31 ,45.78 ,34.41 ,33.61 ,14.56 ,12.45 ,11.07 ,10.12 ,9.32 ,8.54 ,30.14 ,7.17 
real estate,Chongqing,1668.60 ,1658.40 ,1577.55 ,1473.04 ,1473.04 ,1048.25 ,926.19 ,847.72 ,817.04 ,728.83 ,620.17 ,396.28 ,266.38 ,229.09 ,191.21 ,196.06 ,158.20 ,143.88 ,98.42 ,87.79 ,70.90 ,60.47 ,51.92 ,40.68 ,73.84 ,26.86 
real estate,Sichuan,3446.00 ,3593.80 ,3498.75 ,3399.12 ,3399.12 ,2039.83 ,1516.61 ,1252.20 ,1064.74 ,762.77 ,703.51 ,620.62 ,558.56 ,548.14 ,388.42 ,396.84 ,336.18 ,286.23 ,211.02 ,187.36 ,147.02 ,131.55 ,105.49 ,93.17 ,144.45 ,70.13 
real estate,Guizhou,863.10 ,866.60 ,730.64 ,632.24 ,632.24 ,283.05 ,249.20 ,232.07 ,220.48 ,202.94 ,176.75 ,160.30 ,139.64 ,136.15 ,123.23 ,105.22 ,87.00 ,79.53 ,41.24 ,38.85 ,37.22 ,33.19 ,27.58 ,18.60 ,36.45 ,10.36 
real estate,Yunnan,1633.60 ,1630.70 ,1503.67 ,1410.42 ,1410.42 ,345.50 ,303.96 ,282.51 ,275.97 ,262.84 ,243.03 ,222.31 ,223.45 ,205.14 ,219.27 ,192.12 ,168.64 ,143.87 ,98.19 ,90.04 ,84.11 ,79.57 ,71.09 ,54.47 ,89.84 ,24.86 
real estate,Tibet,92.90 ,106.90 ,57.09 ,54.50 ,54.00 ,33.49 ,33.47 ,29.33 ,28.80 ,22.74 ,20.77 ,17.44 ,14.54 ,13.28 ,31.70 ,12.19 ,11.76 ,9.93 ,4.70 ,4.35 ,3.42 ,2.55 ,2.18 ,0.34 ,1.69 ,0.19 
real estate,Shaanxi,1617.90 ,1635.00 ,1538.72 ,1305.59 ,1305.59 ,861.53 ,747.17 ,695.53 ,579.44 ,507.72 ,450.12 ,398.03 ,315.95 ,239.92 ,159.81 ,138.95 ,117.34 ,105.53 ,122.49 ,117.37 ,58.33 ,41.48 ,35.85 ,28.51 ,53.14 ,14.07 
real estate,Gansu,573.20 ,580.80 ,497.28 ,470.49 ,470.49 ,274.30 ,259.89 ,244.82 ,234.14 ,158.40 ,146.32 ,134.25 ,110.02 ,101.37 ,93.80 ,83.52 ,73.21 ,63.78 ,38.04 ,33.40 ,29.91 ,27.44 ,24.77 ,21.48 ,50.55 ,13.71 
real estate,Qinghai,144.90 ,149.90 ,147.48 ,127.49 ,127.49 ,60.89 ,56.13 ,53.59 ,48.96 ,34.21 ,31.41 ,29.05 ,25.41 ,23.05 ,21.48 ,17.96 ,15.86 ,14.10 ,6.38 ,5.94 ,5.38 ,4.34 ,4.06 ,3.56 ,18.57 ,2.49 
real estate,Ningxia,185.10 ,192.00 ,175.86 ,148.09 ,148.09 ,120.84 ,102.57 ,97.05 ,114.28 ,101.84 ,87.51 ,79.01 ,60.53 ,47.56 ,32.57 ,28.07 ,24.70 ,22.61 ,10.05 ,8.66 ,7.35 ,7.65 ,5.46 ,4.59 ,16.52 ,2.91 
real estate,Xinjiang,575.50 ,628.60 ,536.35 ,509.95 ,509.95 ,323.16 ,298.62 ,285.38 ,281.56 ,232.44 ,194.38 ,176.22 ,143.44 ,115.23 ,94.49 ,91.28 ,68.90 ,55.79 ,26.92 ,24.67 ,22.79 ,19.19 ,15.00 ,10.24 ,50.20 ,7.37 
it,Beijing,19693.90 ,18119.90 ,16417.55 ,15912.17 ,15561.28 ,11946.78 ,10708.04 ,9100.73 ,8110.18 ,7194.08 ,6469.71 ,5775.82 ,4812.85 ,4168.91 ,3733.47 ,3183.10 ,2617.12 ,2228.32 ,1154.91 ,981.67 ,804.97 ,635.93 ,496.02 ,401.78 ,321.42 ,257.14 
it,Tianjin,4093.40 ,3735.80 ,3404.66 ,3349.19 ,2998.30 ,4634.05 ,4197.87 ,3336.09 ,2884.47 ,2314.71 ,2021.15 ,1760.77 ,1454.36 ,1195.54 ,816.44 ,684.81 ,604.65 ,512.61 ,466.08 ,396.17 ,324.86 ,256.64 ,200.18 ,162.14 ,129.71 ,103.77 
it,Hebei,8448.60 ,7797.80 ,7097.72 ,6765.39 ,6414.50 ,5284.39 ,4586.74 ,3881.50 ,3291.63 ,3007.34 ,2862.98 ,2653.38 ,2270.37 ,2033.38 ,2247.68 ,1891.10 ,1549.95 ,1442.08 ,963.61 ,819.07 ,671.64 ,530.59 ,413.86 ,335.23 ,268.18 ,214.55 
it,Shanxi,4771.70 ,4450.90 ,3985.04 ,3856.31 ,3505.42 ,3322.07 ,2908.05 ,2635.32 ,2053.67 ,1673.95 ,1603.27 ,1352.37 ,1190.87 ,1067.15 ,942.32 ,806.16 ,679.18 ,613.55 ,419.12 ,356.25 ,292.13 ,230.78 ,180.01 ,145.81 ,116.65 ,93.32 
it,Inner Mongolia,4200.00 ,3985.40 ,3797.31 ,3720.60 ,3369.71 ,2861.83 ,2796.99 ,2471.59 ,2189.50 ,1851.57 ,1708.56 ,1545.41 ,1293.52 ,1134.99 ,824.89 ,715.67 ,617.20 ,528.52 ,368.86 ,313.53 ,257.10 ,203.11 ,158.42 ,128.32 ,102.66 ,82.13 
it,Liaoning,6912.60 ,6513.50 ,6063.25 ,5744.21 ,5393.32 ,4221.37 ,3859.49 ,4680.57 ,4351.67 ,3875.67 ,3464.86 ,2987.66 ,2528.65 ,2206.09 ,1666.57 ,1448.22 ,1279.13 ,1178.07 ,948.99 ,806.64 ,661.45 ,522.54 ,407.58 ,330.14 ,264.11 ,211.29 
it,Jilin,3414.90 ,3412.50 ,3179.79 ,3094.12 ,2743.23 ,3363.91 ,2930.19 ,2402.38 ,2157.54 ,2209.88 ,1975.58 ,1746.51 ,1401.37 ,1202.68 ,1061.64 ,867.31 ,718.73 ,581.40 ,380.59 ,323.50 ,265.27 ,209.56 ,163.46 ,132.40 ,105.92 ,84.74 
it,Heilongjiang,3592.30 ,3286.90 ,3132.64 ,3192.35 ,2841.46 ,3866.19 ,3538.93 ,3170.90 ,2755.08 ,2365.61 ,2227.70 ,1853.67 ,1612.34 ,1441.32 ,1277.66 ,1066.19 ,921.04 ,823.37 ,600.43 ,510.37 ,418.50 ,330.62 ,257.88 ,208.88 ,167.11 ,133.68 
it,Shanghai,13450.80 ,12234.80 ,10940.76 ,10624.53 ,10273.64 ,7800.44 ,6992.69 ,5797.41 ,5261.94 ,4495.51 ,4116.11 ,3657.14 ,3184.86 ,2831.79 ,2877.93 ,2372.38 ,1938.65 ,1677.88 ,984.57 ,836.88 ,686.24 ,542.13 ,422.86 ,342.52 ,274.02 ,219.21 
it,Jiangsu,25355.30 ,23144.40 ,20449.00 ,19515.76 ,19164.87 ,18514.75 ,16533.28 ,13909.11 ,11857.96 ,9335.03 ,8286.38 ,7105.77 ,5497.80 ,4325.28 ,4054.47 ,3401.13 ,2891.31 ,2350.94 ,1729.26 ,1469.87 ,1205.29 ,952.18 ,742.70 ,601.59 ,481.27 ,385.02 
it,Zhejiang,17346.00 ,16347.70 ,14788.66 ,13699.69 ,13348.80 ,11345.90 ,9680.12 ,8099.05 ,6870.58 ,6007.72 ,5371.97 ,4657.08 ,3872.59 ,3278.36 ,3104.88 ,2761.89 ,2332.90 ,2015.86 ,1443.43 ,1226.92 ,1006.07 ,794.80 ,619.94 ,502.15 ,401.72 ,321.38 
it,Anhui,9600.80 ,8764.00 ,7792.00 ,7305.90 ,6955.01 ,5110.90 ,4242.09 ,3529.20 ,2786.67 ,2427.15 ,2201.97 ,1944.15 ,1656.88 ,1446.36 ,1448.71 ,1283.80 ,1122.50 ,999.75 ,606.54 ,515.56 ,422.76 ,333.98 ,260.50 ,211.01 ,168.81 ,135.05 
it,Fujian,9280.80 ,8418.90 ,7568.37 ,7102.58 ,6751.69 ,5933.40 ,4794.30 ,3945.53 ,3235.80 ,2797.38 ,2584.24 ,2329.68 ,1955.44 ,1748.86 ,1470.58 ,1253.65 ,997.32 ,878.01 ,694.97 ,590.72 ,484.39 ,382.67 ,298.48 ,241.77 ,193.42 ,154.73 
it,Jiangxi,6129.90 ,5576.40 ,4827.98 ,4588.06 ,4237.17 ,3734.61 ,3417.97 ,2724.39 ,2291.10 ,1981.91 ,1773.82 ,1551.55 ,1225.53 ,1049.69 ,788.85 ,691.25 ,607.31 ,514.26 ,350.93 ,298.29 ,244.60 ,193.23 ,150.72 ,122.08 ,97.67 ,78.13 
it,Shandong,17886.60 ,16869.80 ,15379.81 ,14083.43 ,13732.54 ,13576.73 ,12109.97 ,10435.36 ,9057.67 ,6559.11 ,5992.16 ,5282.20 ,4460.17 ,3950.63 ,3363.39 ,2934.96 ,2476.51 ,2006.37 ,1592.38 ,1353.52 ,1109.89 ,876.81 ,683.91 ,553.97 ,443.18 ,354.54 
it,Henan,13414.50 ,12792.70 ,11725.64 ,11367.75 ,11016.86 ,7624.15 ,6514.27 ,5580.37 ,4786.15 ,3563.29 ,3175.18 ,2790.94 ,2364.95 ,2170.12 ,1884.33 ,1636.33 ,1353.39 ,1156.99 ,950.96 ,808.32 ,662.82 ,523.63 ,408.43 ,330.83 ,264.66 ,211.73 
it,Hubei,12482.30 ,11532.70 ,10150.13 ,9360.98 ,9010.09 ,7067.79 ,6013.85 ,5303.96 ,4809.96 ,3966.23 ,3510.90 ,3108.89 ,2497.29 ,2142.23 ,2017.14 ,1718.28 ,1381.86 ,1186.98 ,794.23 ,675.10 ,553.58 ,437.33 ,341.11 ,276.30 ,221.04 ,176.83 
it,Hunan,11917.90 ,11003.80 ,9899.19 ,9705.21 ,9354.32 ,9081.33 ,7808.79 ,6542.25 ,5637.13 ,4818.32 ,4107.93 ,3502.38 ,2820.03 ,2369.17 ,2078.15 ,1800.45 ,1495.38 ,1271.41 ,962.52 ,818.14 ,670.88 ,529.99 ,413.39 ,334.85 ,267.88 ,214.30 
it,Guangdong,30214.30 ,29218.80 ,26156.67 ,24936.34 ,21885.45 ,19188.52 ,16352.25 ,13807.71 ,12294.21 ,10628.64 ,9694.37 ,8896.45 ,7690.94 ,6850.14 ,5456.42 ,4734.11 ,4208.55 ,3734.67 ,1886.95 ,1603.91 ,1315.20 ,1039.01 ,810.43 ,656.45 ,525.16 ,420.13 
it,Guangxi,5566.10 ,5214.90 ,4777.80 ,4345.36 ,3664.47 ,3223.11 ,2814.33 ,2465.24 ,2189.52 ,1783.62 ,1580.59 ,1387.72 ,1214.46 ,1095.45 ,1055.17 ,915.43 ,785.37 ,671.03 ,395.41 ,336.10 ,275.60 ,217.72 ,169.83 ,137.56 ,110.05 ,88.04 
it,Hainan,1458.90 ,1353.90 ,1251.94 ,1147.45 ,956.56 ,760.06 ,677.07 ,600.78 ,526.82 ,482.74 ,437.85 ,367.43 ,295.22 ,243.45 ,217.40 ,186.63 ,163.76 ,144.14 ,88.74 ,75.43 ,61.85 ,48.86 ,38.11 ,30.87 ,24.70 ,19.76 
it,Chongqing,6748.50 ,6294.90 ,5621.87 ,5295.61 ,5295.61 ,3717.69 ,3237.97 ,2758.88 ,2357.16 ,1649.73 ,1405.47 ,1153.01 ,962.15 ,850.16 ,824.94 ,705.64 ,648.87 ,547.90 ,479.62 ,407.68 ,334.30 ,264.09 ,205.99 ,166.85 ,133.48 ,106.79 
it,Sichuan,14130.10 ,13050.70 ,11507.34 ,10855.61 ,10855.61 ,7764.09 ,6599.01 ,5542.08 ,4566.19 ,4001.91 ,3564.08 ,3137.30 ,2748.95 ,2330.89 ,1838.17 ,1630.06 ,1379.42 ,1211.39 ,924.59 ,785.90 ,644.44 ,509.11 ,397.10 ,321.65 ,257.32 ,205.86 
it,Guizhou,5098.40 ,4852.10 ,4570.22 ,4209.06 ,4209.06 ,2577.83 ,2101.63 ,1849.58 ,1604.04 ,1445.57 ,1271.61 ,1059.64 ,777.35 ,708.49 ,650.22 ,529.47 ,409.58 ,346.41 ,237.48 ,201.86 ,165.52 ,130.76 ,102.00 ,82.62 ,66.09 ,52.87 
it,Yunnan,6177.10 ,5784.00 ,5461.23 ,5243.21 ,5243.21 ,3776.61 ,3203.52 ,2756.63 ,2412.66 ,2132.06 ,1833.67 ,1595.62 ,1224.80 ,1050.16 ,1012.01 ,843.64 ,668.59 ,586.13 ,388.76 ,330.45 ,270.97 ,214.06 ,166.97 ,135.24 ,108.20 ,86.56 
it,Tibet,664.50 ,642.20 ,572.01 ,549.56 ,549.56 ,383.23 ,342.28 ,320.52 ,281.79 ,256.39 ,232.23 ,197.48 ,163.90 ,141.45 ,109.11 ,101.35 ,90.91 ,81.11 ,50.19 ,42.66 ,34.98 ,27.64 ,21.56 ,17.46 ,13.97 ,11.17 
it,Shaanxi,6485.20 ,6022.20 ,5634.36 ,5219.97 ,5219.97 ,3904.23 ,3319.59 ,2796.19 ,2432.01 ,2134.33 ,1911.77 ,1669.86 ,1438.82 ,1261.97 ,923.55 ,782.81 ,656.50 ,577.42 ,461.73 ,392.47 ,321.83 ,254.24 ,198.31 ,160.63 ,128.50 ,102.80 
it,Gansu,2681.00 ,2472.90 ,2298.76 ,2182.20 ,2182.20 ,2074.52 ,1850.21 ,1618.86 ,1403.49 ,1227.89 ,1079.00 ,928.57 ,729.23 ,640.26 ,590.14 ,475.69 ,401.41 ,349.84 ,172.81 ,146.89 ,120.45 ,95.15 ,74.22 ,60.12 ,48.09 ,38.48 
it,Qinghai,847.30 ,852.20 ,783.40 ,774.96 ,774.96 ,563.09 ,491.31 ,434.09 ,355.78 ,336.60 ,306.45 ,268.41 ,231.94 ,199.87 ,166.73 ,140.55 ,116.95 ,102.02 ,88.15 ,74.93 ,61.44 ,48.54 ,37.86 ,30.67 ,24.53 ,19.63 
it,Ningxia,1166.20 ,1123.20 ,1030.63 ,981.75 ,981.75 ,742.21 ,630.96 ,538.02 ,450.39 ,394.25 ,363.71 ,327.49 ,278.38 ,225.76 ,168.24 ,143.83 ,117.57 ,102.39 ,67.10 ,57.04 ,46.77 ,36.95 ,28.82 ,23.34 ,18.67 ,14.94 
it,Xinjiang,4150.20 ,4007.10 ,3807.73 ,3382.81 ,3382.81 ,2330.89 ,2043.76 ,1961.96 ,1659.26 ,1449.02 ,1255.46 ,1073.64 ,831.24 ,748.67 ,684.58 ,584.32 ,509.49 ,452.85 ,331.05 ,281.39 ,230.74 ,182.29 ,142.18 ,115.17 ,92.13 ,73.71 
daily consumption,Beijing,503.98 ,503.08 ,486.40 ,513.88 ,536.48 ,544.30 ,586.65 ,633.75 ,718.63 ,731.47 ,678.90 ,615.94 ,562.11 ,534.67 ,509.90 ,457.70 ,443.14 ,442.91 ,465.11 ,452.45 ,443.19 ,420.72 ,406.66 ,395.41 ,391.25 ,383.52 
daily consumption,Tianjin,573.51 ,473.34 ,441.38 ,388.98 ,362.69 ,354.82 ,462.46 ,438.52 ,419.79 ,395.75 ,360.36 ,335.41 ,305.72 ,270.59 ,257.42 ,231.40 ,248.28 ,236.00 ,214.81 ,188.29 ,176.40 ,164.96 ,154.43 ,149.12 ,155.46 ,156.56 
daily consumption,Hebei,4410.30 ,4030.30 ,3880.14 ,3518.44 ,3338.00 ,3129.98 ,3492.81 ,3439.45 ,3447.46 ,3500.42 ,3186.66 ,2905.73 ,2562.81 ,2207.34 ,2034.60 ,1804.72 ,1606.48 ,1503.07 ,1370.40 ,1064.33 ,957.01 ,913.90 ,824.55 ,805.97 ,790.60 ,761.76 
daily consumption,Shanxi,1340.40 ,1286.90 ,946.68 ,824.72 ,740.64 ,719.16 ,784.78 ,783.16 ,788.89 ,773.81 ,698.32 ,641.42 ,554.48 ,477.59 ,302.48 ,269.68 ,276.77 ,262.42 ,253.37 ,215.19 ,197.80 ,171.09 ,179.86 ,159.96 ,207.26 ,191.84 
daily consumption,Inner Mongolia,2653.70 ,2225.20 ,2025.12 ,1863.19 ,1753.82 ,1649.77 ,1637.39 ,1617.42 ,1627.85 ,1599.41 ,1448.58 ,1306.30 ,1095.28 ,929.60 ,906.98 ,762.10 ,649.62 ,589.56 ,506.07 ,420.10 ,374.69 ,358.89 ,350.80 ,342.91 ,341.62 ,322.52 
daily consumption,Liaoning,2597.60 ,2461.80 ,2284.61 ,2177.77 ,2033.30 ,1902.28 ,2173.06 ,2384.03 ,2285.75 ,2321.63 ,2155.82 ,1915.57 ,1631.08 ,1414.90 ,1302.00 ,1133.40 ,976.37 ,882.41 ,769.90 ,615.80 ,590.20 ,544.44 ,503.44 ,520.80 ,531.46 ,485.38 
daily consumption,Jilin,1689.10 ,1553.80 ,1553.00 ,1287.32 ,1160.75 ,1095.36 ,1498.52 ,1596.28 ,1524.01 ,1509.34 ,1412.11 ,1277.44 ,1050.15 ,980.57 ,916.70 ,783.80 ,672.76 ,625.61 ,560.96 ,486.90 ,446.17 ,409.10 ,398.73 ,423.48 ,429.50 ,368.16 
daily consumption,Heilongjiang,3609.80 ,3463.00 ,3438.29 ,3182.45 ,3000.96 ,2965.25 ,2670.46 ,2633.50 ,2611.36 ,2516.79 ,2113.66 ,1701.50 ,1302.90 ,1154.33 ,1089.10 ,915.38 ,737.59 ,684.60 ,587.76 ,500.80 ,447.00 ,409.30 ,357.00 ,377.23 ,463.05 ,484.81 
daily consumption,Shanghai,182.36 ,188.00 ,194.71 ,195.29 ,196.22 ,208.27 ,205.80 ,206.46 ,233.61 ,243.05 ,240.26 ,234.89 ,214.60 ,213.98 ,210.18 ,191.46 ,176.34 ,151.04 ,181.81 ,170.40 ,165.89 ,160.74 ,156.42 ,150.40 ,147.58 ,142.50 
daily consumption,Jiangsu,4959.40 ,4722.40 ,4536.72 ,4296.28 ,4141.72 ,4045.16 ,4077.18 ,3986.05 ,3634.33 ,3646.08 ,3418.29 ,3064.77 ,2540.10 ,2261.86 ,2100.00 ,1816.24 ,1545.01 ,1461.49 ,1315.38 ,1106.35 ,1119.12 ,1082.43 ,1031.17 ,1003.51 ,1016.27 ,1008.41 
daily consumption,Zhejiang,2324.80 ,2209.10 ,2169.23 ,2097.38 ,1967.01 ,1933.92 ,1965.18 ,1832.91 ,1777.18 ,1784.62 ,1667.88 ,1583.04 ,1360.56 ,1163.08 ,1095.43 ,986.02 ,925.10 ,892.83 ,816.00 ,728.00 ,694.00 ,695.15 ,664.16 ,631.94 ,631.31 ,637.48 
daily consumption,Anhui,3513.70 ,3360.60 ,3184.68 ,2915.70 ,2638.01 ,2582.27 ,2567.72 ,2456.69 ,2392.39 ,2348.09 ,2178.73 ,2015.31 ,1729.02 ,1495.45 ,1418.08 ,1200.18 ,1028.66 ,966.49 ,932.42 ,732.81 ,772.55 ,750.07 ,732.19 ,741.14 ,739.70 ,732.37 
daily consumption,Fujian,3076.20 ,2897.70 ,2732.32 ,2596.23 ,2379.82 ,2215.13 ,2363.22 ,2118.10 ,2014.80 ,1936.31 ,1776.71 ,1612.24 ,1363.67 ,1182.74 ,1157.75 ,1002.11 ,896.17 ,841.20 ,777.87 ,692.94 ,664.78 ,651.11 ,640.57 ,628.86 ,610.04 ,576.63 
daily consumption,Jiangxi,2451.50 ,2334.30 ,2241.59 ,2057.56 ,1877.33 ,1835.26 ,1904.53 ,1772.98 ,1683.72 ,1636.49 ,1520.23 ,1391.07 ,1206.98 ,1098.66 ,1060.38 ,905.77 ,786.14 ,727.37 ,711.70 ,560.00 ,535.98 ,506.00 ,485.14 ,464.40 ,450.44 ,475.18 
daily consumption,Shandong,6298.60 ,6029.00 ,5363.76 ,5116.44 ,4950.52 ,4832.71 ,4929.13 ,4979.08 ,4798.36 ,4742.63 ,4281.70 ,3973.85 ,3588.28 ,3226.64 ,3002.65 ,2509.14 ,2138.90 ,1963.51 ,1778.30 ,1480.67 ,1390.00 ,1359.49 ,1268.57 ,1221.00 ,1215.81 ,1195.00 
daily consumption,Henan,5817.80 ,5620.80 ,5353.74 ,4635.40 ,4289.38 ,4139.29 ,4286.21 ,4209.56 ,4160.01 ,4058.98 ,3769.54 ,3512.24 ,3258.09 ,2769.05 ,2658.80 ,2217.66 ,2049.92 ,1892.01 ,1647.48 ,1239.70 ,1288.36 ,1234.34 ,1161.58 ,1123.14 ,1071.39 ,1008.55 
daily consumption,Hubei,4986.70 ,4661.70 ,4131.91 ,3809.09 ,3547.51 ,3528.96 ,3659.33 ,3309.84 ,3176.89 ,3098.16 ,2848.77 ,2569.30 ,2147.00 ,1795.90 ,1780.00 ,1378.00 ,1140.41 ,1082.13 ,1020.09 ,798.35 ,707.00 ,692.17 ,662.30 ,653.99 ,748.22 ,767.92 
daily consumption,Hunan,4602.70 ,4322.90 ,4240.45 ,3646.95 ,3083.59 ,2998.40 ,3578.37 ,3331.62 ,3148.75 ,3099.23 ,3004.21 ,2768.03 ,2325.50 ,1969.69 ,2007.40 ,1626.52 ,1332.23 ,1274.15 ,1155.85 ,886.47 ,847.25 ,825.73 ,784.92 ,778.25 ,828.31 ,855.75 
daily consumption,Guangdong,5340.40 ,5003.70 ,4769.99 ,4351.26 ,3831.44 ,3611.44 ,3694.37 ,3345.54 ,3166.82 ,3047.51 ,2847.26 ,2665.20 ,2286.98 ,2010.27 ,1970.23 ,1695.57 ,1577.12 ,1428.27 ,1245.42 ,1093.52 ,1032.80 ,1004.35 ,1000.06 ,1021.30 ,1004.92 ,986.82 
daily consumption,Guangxi,4269.80 ,4015.50 ,3555.82 ,3387.74 ,3019.37 ,2878.30 ,2796.80 ,2565.45 ,2413.44 ,2343.57 ,2172.37 ,2047.23 ,1675.06 ,1458.49 ,1453.90 ,1241.35 ,1032.47 ,912.50 ,811.38 ,652.28 ,595.68 ,562.52 ,538.69 ,554.48 ,574.25 ,631.62 
daily consumption,Hainan,1417.80 ,1254.40 ,1135.98 ,1080.36 ,1000.11 ,962.84 ,948.35 ,854.72 ,809.52 ,756.47 ,711.54 ,659.23 ,539.83 ,462.19 ,437.61 ,361.07 ,344.48 ,300.75 ,283.84 ,248.33 ,228.95 ,201.79 ,196.56 ,176.42 ,164.00 ,151.28 
daily consumption,Chongqing,2012.10 ,1922.00 ,1803.33 ,1551.42 ,1378.27 ,1276.09 ,1303.24 ,1150.15 ,1061.03 ,1016.74 ,940.01 ,844.52 ,685.38 ,606.80 ,575.40 ,482.39 ,425.81 ,463.40 ,431.32 ,336.36 ,315.78 ,293.03 ,283.00 ,284.28 ,298.67 ,304.51 
