Category,Province,Values in 2022 (100 million yuan),Values in 2021 (100 million yuan),Values in 2020 (100 million yuan),Values in 2019 (100 million yuan),Values in 2018 (100 million yuan),Values in 2017 (100 million yuan),Values in 2016 (100 million yuan),Values in 2015 (100 million yuan),Values in 2014 (100 million yuan),Values in 2013 (100 million yuan),Values in 2012 (100 million yuan),Values in 2011 (100 million yuan),Values in 2010 (100 million yuan),Values in 2009 (100 million yuan),Values in 2008 (100 million yuan),Values in 2007 (100 million yuan),Values in 2006 (100 million yuan),Values in 2005 (100 million yuan),Values in 2004 (100 million yuan),Values in 2003 (100 million yuan),Values in 2002 (100 million yuan),Values in 2001 (100 million yuan),Values in 2000 (100 million yuan),Values in 1999 (100 million yuan),Values in 1998 (100 million yuan),Values in 1997 (100 million yuan)
optional,Guangxi,2156.30 ,2062.80 ,1820.31 ,1758.95 ,1492.80 ,1326.17 ,1215.06 ,1135.09 ,1112.96 ,1083.06 ,982.18 ,803.48 ,656.83 ,551.14 ,614.80 ,510.21 ,439.39 ,389.43 ,376.49 ,344.78 ,318.46 ,295.15 ,277.73 ,260.33 ,243.50 ,223.52 
optional,Hainan,958.80 ,955.00 ,653.34 ,533.03 ,466.88 ,496.72 ,467.80 ,440.75 ,418.09 ,344.49 ,300.52 ,258.06 ,220.65 ,168.75 ,147.23 ,121.10 ,104.10 ,91.67 ,94.16 ,83.68 ,76.95 ,72.58 ,68.97 ,63.74 ,60.90 ,58.05 
optional,Chongqing,2816.70 ,2697.50 ,2319.80 ,2192.06 ,1925.91 ,1595.88 ,1470.85 ,1345.38 ,1229.88 ,984.40 ,847.99 ,747.30 ,624.33 ,524.36 ,449.32 ,366.19 ,314.33 ,277.68 ,227.51 ,199.27 ,182.51 ,167.84 ,154.46 ,145.32 ,138.43 ,129.87 
optional,Sichuan,5132.10 ,4929.30 ,4273.50 ,4194.68 ,3928.53 ,2574.15 ,2138.45 ,1871.55 ,1586.78 ,1472.59 ,1342.25 ,1186.58 ,1016.03 ,868.98 ,736.41 ,624.74 ,541.68 ,475.16 ,593.37 ,575.13 ,519.46 ,474.79 ,381.59 ,348.12 ,328.46 ,308.36 
optional,Guizhou,1582.20 ,1562.40 ,1369.48 ,1269.90 ,1003.75 ,812.74 ,732.71 ,671.39 ,624.17 ,582.05 ,514.49 ,448.77 ,367.52 ,293.53 ,208.75 ,174.26 ,148.10 ,131.50 ,114.90 ,101.86 ,92.12 ,84.08 ,77.62 ,75.34 ,69.97 ,63.97 
optional,Yunnan,2990.70 ,2840.40 ,2456.70 ,2389.22 ,2123.07 ,1567.79 ,1441.95 ,1334.62 ,1246.53 ,1162.17 ,1039.64 ,932.21 ,685.38 ,571.03 ,438.06 ,354.32 ,306.20 ,271.48 ,247.43 ,221.42 ,216.63 ,202.22 ,199.63 ,179.57 ,170.15 ,158.29 
optional,Tibet,101.60 ,112.70 ,100.23 ,104.51 ,91.64 ,75.10 ,70.35 ,67.70 ,64.11 ,51.24 ,42.75 ,34.25 ,31.43 ,27.06 ,33.61 ,29.04 ,24.08 ,19.85 ,22.31 ,20.41 ,20.76 ,16.59 ,14.15 ,12.71 ,11.13 ,9.21 
optional,Shaanxi,2103.30 ,2050.10 ,1834.26 ,1880.44 ,1614.29 ,1762.33 ,1604.40 ,1504.04 ,1413.16 ,1293.77 ,1166.90 ,1036.35 ,856.65 ,707.39 ,483.13 ,392.84 ,337.60 ,293.83 ,168.19 ,152.07 ,134.83 ,124.73 ,113.21 ,102.57 ,94.63 ,87.76 
optional,Gansu,795.60 ,763.40 ,659.34 ,646.28 ,580.13 ,563.23 ,536.70 ,508.00 ,491.68 ,440.31 ,398.52 ,351.97 ,272.13 ,231.21 ,196.93 ,166.85 ,145.89 ,130.78 ,158.92 ,142.73 ,132.03 ,123.04 ,114.24 ,108.32 ,99.23 ,90.19 
optional,Qinghai,171.10 ,194.00 ,165.85 ,160.83 ,125.32 ,169.15 ,163.04 ,154.78 ,150.64 ,126.27 ,109.44 ,93.70 ,81.44 ,66.13 ,53.28 ,44.75 ,38.90 ,35.63 ,31.97 ,28.42 ,25.36 ,23.06 ,21.37 ,19.58 ,18.79 ,17.72 
